Text,Speaker,Episode,Season,Show
 I hear he hates that nickname.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 Clever girl.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" We've been expecting you, Lord Tyrion.",ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 Have you?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 The gods gave me one blessing.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
[She climbs on TYRION. JAIME walks in without knocking.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Don't get up.,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 M'lord.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
" Should I explain to you the meaning of a closed door in a whorehouse, brother?",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" You've much to teach me, no doubt. But our sister craves your attention.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" She has odd cravings, our sister.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" I thought you might say that. But since we're short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
[JAIME leaves.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Close the door!,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
"Scene changes to the Winterfell crypt, at Lyanna's tomb. [Robert places a feather in the hand of her statue.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 She was my sister. This is where she belongs.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 She belonged with me.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[He touches Lyanna's face.],,e1-Winter is Coming,season-01,Game-of-Thrones
" In my dreams, I kill him every night.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" It's done, Your Grace. The Targaryens are gone.",Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
 Not all of them.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to Daenerys on a balcony in Pentos, across the Narrow Sea.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Daenerys!,VISERYS (off camera),e1-Winter is Coming,season-01,Game-of-Thrones
[He enters a large chamber.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Daenerys! There's our bride to be! Look É?? a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 We've been his guests for over a year and he's never asked us for anything.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones
" Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman's body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 No.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones
[VISERYS nods and starts to leave the chamber. He turns.],,e1-Winter is Coming,season-01,Game-of-Thrones
" When they write the history of my reign, sweet sister, they will say it began today.",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
[Daenerys turns and steps into a steaming hot bath with a despairing look on her face.],,e1-Winter is Coming,season-01,Game-of-Thrones
" It's too hot, my lady.",MAID,e1-Winter is Coming,season-01,Game-of-Thrones
"[But DAENERYS keeps stepping deeper. The scene shifts to ILLYRIOS, DAENERYS, AND VISERYS outside the mansion, awaiting Khal Drogo.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where is he?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 The Dothraki are not known for their punctuality.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
[A host of Dothraki come riding up. Khal Drogo wheels his stallion into the front.],,e1-Winter is Coming,season-01,Game-of-Thrones
" (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
"VISERYS (to DAENERYS) Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",,e1-Winter is Coming,season-01,Game-of-Thrones
" Come forward, my dear.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
"[KHAL DROGO watches as DAENERYS walks toward him. She does not hesitate and looks straight at him, although there is fear on her face. KHAL DROGO gazes at her and then leads his horsemen on a charge away.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where's he going?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 The ceremony is over.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
